pilot_id,_company_key,cik,symbol,security,sec_entity_name,sec_tickers,sec_exchanges,sic,sic_description,state_of_incorporation,fiscal_year_end,metadata_source,metadata_status,historical_fragment_count,retrieved_at,selection_status,replacement_status,replacement_for,replaced_by,replacement_reason,original_pilot_id,replacement_pilot_id,sampling_seed,reserve_order,within_sector_random_order,analysis_included,final_sample_status
P2025-018,cik:0000016918,0000016918,STZ,Constellation Brands,"CONSTELLATION BRANDS, INC.",STZ,NYSE,2080,Beverages,DE,0228,https://data.sec.gov/submissions/CIK0000016918.json,success,0,2026-07-29T10:25:37.368330+00:00,,not_replaced,,,,P2025-018,,20250729,,,1,included
P2025-019,cik:0000091419,0000091419,SJM,J.M. Smucker Company (The),J M SMUCKER Co,SJM,NYSE,2033,"Canned, Fruits, Veg, Preserves, Jams & Jellies",OH,0430,https://data.sec.gov/submissions/CIK0000091419.json,success,0,2026-07-29T10:25:37.391432+00:00,,not_replaced,,,,P2025-019,,20250729,,,1,included
P2025-020,cik:0000100493,0000100493,TSN,Tyson Foods,"TYSON FOODS, INC.",TSN,NYSE,2015,Poultry Slaughtering and Processing,DE,1003,https://data.sec.gov/submissions/CIK0000100493.json,success,0,2026-07-29T10:25:37.414232+00:00,,not_replaced,,,,P2025-020,,20250729,,,1,included
P2025-021,cik:0000104169,0000104169,WMT,Walmart,Walmart Inc.,WMT,Nasdaq,5331,Retail-Variety Stores,DE,0131,https://data.sec.gov/submissions/CIK0000104169.json,success,0,2026-07-29T10:25:37.438477+00:00,,not_replaced,,,,P2025-021,,20250729,,,1,included
P2025-022,cik:0000034088,0000034088,XOM,ExxonMobil,EXXON MOBIL CORP,XOM,NYSE,2911,Petroleum Refining,NJ,1231,https://data.sec.gov/submissions/CIK0000034088.json,success,0,2026-07-29T10:25:37.463036+00:00,,not_replaced,,,,P2025-022,,20250729,,,1,included
P2025-023,cik:0001539838,0001539838,FANG,Diamondback Energy,"Diamondback Energy, Inc.",FANG,Nasdaq,1311,Crude Petroleum & Natural Gas,DE,1231,https://data.sec.gov/submissions/CIK0001539838.json,success,0,2026-07-29T10:25:37.488965+00:00,,not_replaced,,,,P2025-023,,20250729,,,1,included
P2025-024,cik:0000045012,0000045012,HAL,Halliburton,HALLIBURTON CO,HAL,NYSE,1389,"Oil & Gas Field Services, NEC",DE,1231,https://data.sec.gov/submissions/CIK0000045012.json,success,0,2026-07-29T10:25:37.512226+00:00,,not_replaced,,,,P2025-024,,20250729,,,1,included
P2025-025,cik:0000093410,0000093410,CVX,Chevron Corporation,CHEVRON CORP,CVX,NYSE,2911,Petroleum Refining,DE,1231,https://data.sec.gov/submissions/CIK0000093410.json,success,0,2026-07-29T10:25:37.534532+00:00,,not_replaced,,,,P2025-025,,20250729,,,1,included
P2025-026,cik:0001140536,0001140536,WTW,Willis Towers Watson,WILLIS TOWERS WATSON PLC,WTW,Nasdaq,6411,"Insurance Agents, Brokers & Service",L2,1231,https://data.sec.gov/submissions/CIK0001140536.json,success,0,2026-07-29T10:25:37.558490+00:00,,not_replaced,,,,P2025-026,,20250729,,,1,included
P2025-027,cik:0001141391,0001141391,MA,Mastercard,Mastercard Inc,MA,NYSE,7389,"Services-Business Services, NEC",DE,1231,https://data.sec.gov/submissions/CIK0001141391.json,success,0,2026-07-29T10:25:37.584931+00:00,,not_replaced,,,,P2025-027,,20250729,,,1,included
P2025-028,cik:0000093751,0000093751,STT,State Street Corporation,STATE STREET CORP,STT|STT-PG,NYSE|NYSE,6022,State Commercial Banks,MA,1231,https://data.sec.gov/submissions/CIK0000093751.json,success,0,2026-07-29T10:25:37.610319+00:00,,not_replaced,,,,P2025-028,,20250729,,,1,included
P2025-029,cik:0000070858,0000070858,BAC,Bank of America,BANK OF AMERICA CORP /DE/,BAC|BML-PG|BML-PL|BAC-PB|BAC-PK|BAC-PE|BAC-PL|BAC-PM|BAC-PN|BAC-PO|BAC-PP|BAC-PQ|BAC-PS|BACRP|BML-PH|BML-PJ|MER-PK,NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|NYSE|OTC|NYSE|NYSE|NYSE,6021,National Commercial Banks,DE,1231,https://data.sec.gov/submissions/CIK0000070858.json,success,3,2026-07-29T10:25:37.637736+00:00,,not_replaced,,,,P2025-029,,20250729,,,1,included
