pilot_id,_company_key,cik,symbol,security,form,filing_date,report_date,acceptance_datetime,accession_number,primary_document,primary_doc_description,file_number,film_number,is_xbrl,is_inline_xbrl,metadata_fragment,eligible_2025_10k,selection_status,selection_reason,amendment_exists,amendment_accession_numbers,amendment_filing_dates,amendment_report_dates,amendment_link_status,manual_review_required,replacement_status,replacement_for,replaced_by,replacement_reason,original_pilot_id,replacement_pilot_id,sampling_seed,reserve_order,within_sector_random_order,analysis_included,final_sample_status
P2025-027,cik:0001141391,0001141391,MA,Mastercard,10-K,2026-02-11,2025-12-31,2026-02-11T16:04:08.000Z,0001141391-26-000013,ma-20251231.htm,10-K,001-32877,26619080,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-027,,20250729,,,1,included
P2025-028,cik:0000093751,0000093751,STT,State Street Corporation,10-K,2026-02-19,2025-12-31,2026-02-19T21:31:31.000Z,0000093751-26-000124,stt-20251231.htm,10-K,001-07511,26654943,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-028,,20250729,,,1,included
P2025-029,cik:0000070858,0000070858,BAC,Bank of America,10-K,2026-02-25,2025-12-31,2026-02-25T22:01:44.000Z,0000070858-26-000157,bac-20251231.htm,10-K,001-06523,26679960,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-029,,20250729,,,1,included
P2025-030,cik:0000038777,0000038777,BEN,Franklin Resources,10-K,2025-11-10,2025-09-30,2025-11-10T19:19:54.000Z,0000038777-25-000238,ben-20250930.htm,10-K,001-09318,251465638,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-030,,20250729,,,1,included
P2025-031,cik:0001393818,0001393818,BX,Blackstone Inc.,10-K,2026-02-27,2025-12-31,2026-02-27T21:06:06.000Z,0001193125-26-082531,d48618d10k.htm,10-K,001-33551,26699647,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-031,,20250729,,,1,included
P2025-032,cik:0001281761,0001281761,RF,Regions Financial Corporation,10-K,2026-02-24,2025-12-31,2026-02-24T19:38:12.000Z,0001281761-26-000019,rf-20251231.htm,10-K,001-34034,26670839,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-032,,20250729,,,1,included
P2025-033,cik:0000895421,0000895421,MS,Morgan Stanley,10-K,2026-02-19,2025-12-31,2026-02-19T21:42:18.000Z,0000895421-26-000086,ms-20251231.htm,10-K,001-11758,26655181,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-033,,20250729,,,1,included
P2025-034,cik:0000004977,0000004977,AFL,Aflac,10-K,2026-02-25,2025-12-31,2026-02-25T13:03:02.000Z,0001628280-26-011402,afl-20251231.htm,10-K,001-07434,26674263,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-034,,20250729,,,1,included
P2025-035,cik:0001136893,0001136893,FIS,Fidelity National Information Services,10-K,2026-02-24,2025-12-31,2026-02-24T21:19:37.000Z,0001136893-26-000013,fis-20251231.htm,10-K,001-16427,26671883,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-035,,20250729,,,1,included
P2025-036,cik:0000036270,0000036270,MTB,M&T Bank,10-K,2026-02-18,2025-12-31,2026-02-18T18:04:08.000Z,0000036270-26-000010,mtb-20251231.htm,10-K,001-09861,26646902,1,1,recent,True,eligible,exact Form 10-K; reportDate in 2025; filingDate <= 2026-07-29,False,,,,not_applicable,False,not_replaced,,,,P2025-036,,20250729,,,1,included
