sample,method,variable_1,variable_2,correlation,pairwise_N,pvalue
full_sample,pearson,future_tense_share,ai_passive_voice_sentence_share,0.01004931559061827,1660,0.6824353411285239
full_sample,pearson,future_tense_share,ai_fog_index,-0.06694651112520669,1660,0.006360089770424983
full_sample,pearson,future_tense_share,log_report_word_count,0.08728756111131261,2829,3.3273199054731975e-06
full_sample,pearson,future_tense_share,report_word_count,0.048742368797891476,2829,0.009516452988300256
full_sample,pearson,future_tense_share,numeric_token_share,-0.11602947900466526,2829,6.031557491767284e-10
full_sample,pearson,future_tense_share,average_word_length,-0.3487099138516704,2829,1.1034494351714323e-81
full_sample,pearson,future_tense_share,lexical_density,-0.4111042359618889,2829,8.177832469410824e-116
full_sample,pearson,future_tense_share,root_type_token_ratio,-0.016024131193784718,2829,0.39422794425021873
full_sample,pearson,ai_past_tense_share,ai_past_tense_share,1.0,1593,0.0
full_sample,pearson,ai_past_tense_share,ai_present_tense_share,-0.8573562790659351,1593,0.0
full_sample,pearson,ai_past_tense_share,ai_future_tense_share,-0.07381790338409931,1593,0.0031987864543711634
full_sample,pearson,ai_past_tense_share,lm_positive_share,0.08537547592879889,1593,0.0006470251380990819
full_sample,pearson,ai_past_tense_share,lm_negative_share,-0.08060602393678193,1593,0.0012823745764821315
full_sample,pearson,ai_past_tense_share,lm_uncertainty_share,-0.09338372167738476,1593,0.00018966289176484724
full_sample,pearson,ai_past_tense_share,passive_voice_sentence_share,0.01858798154264034,1593,0.45846748087913997
full_sample,pearson,ai_past_tense_share,fog_index,-0.052486042358771155,1593,0.03620269002260473
full_sample,pearson,ai_past_tense_share,ai_lm_positive_share,0.0984475707705581,1593,8.293425676237704e-05
full_sample,pearson,ai_past_tense_share,ai_lm_negative_share,-0.17303778043891593,1593,3.564657408223761e-12
full_sample,pearson,ai_past_tense_share,ai_lm_uncertainty_share,-0.19508511815160892,1593,3.9723019051392875e-15
full_sample,pearson,ai_past_tense_share,ai_passive_voice_sentence_share,-0.030020682475684627,1593,0.23110122369559685
full_sample,pearson,ai_past_tense_share,ai_fog_index,-0.04795722436032808,1593,0.055660194452500714
full_sample,pearson,ai_past_tense_share,log_report_word_count,0.006643571811320708,1593,0.7910435855987706
full_sample,pearson,ai_past_tense_share,report_word_count,-0.006231718452841959,1593,0.8037243312460342
full_sample,pearson,ai_past_tense_share,numeric_token_share,0.0309966171920044,1593,0.2162818719332394
