variable,ai_disclosure,ai_sentence_count,log1p_ai_sentence_count,whole_report_concreteness,ai_concreteness,past_tense_share,present_tense_share,future_tense_share,ai_past_tense_share,ai_present_tense_share,ai_future_tense_share,lm_positive_share,lm_negative_share,lm_uncertainty_share,passive_voice_sentence_share,fog_index,ai_lm_positive_share,ai_lm_negative_share,ai_lm_uncertainty_share,ai_passive_voice_sentence_share,ai_fog_index,log_report_word_count,report_word_count,numeric_token_share,average_word_length,lexical_density,root_type_token_ratio
ai_future_tense_share,,0.012085116778456476,0.025420721537535912,0.012271207389861703,-0.029527415398288098,0.02523385189063107,-0.03961160725553251,0.06267821643601847,-0.07381790338409931,-0.45003088737774266,1.0,0.04677412165278072,0.028531978851922886,-0.04213257461438476,0.017765202165559393,0.028742570598790488,0.08051275893517924,-0.07748420711709449,-0.05976711718222896,-0.03410618163358825,-0.04110781013441728,-0.01514961069921475,-0.02506661863924547,0.019927940418047334,0.018926132339586905,0.008340588169781596,0.0006191921519647684
lm_positive_share,0.19887536131158093,0.2015600017967303,0.24125538685193423,-0.08654633155665,0.14496793149911105,-0.1863044058687348,0.17892215858247915,0.03537374153226692,0.08537547592879889,-0.10059158574600706,0.04677412165278072,0.9999999999999999,0.19418931572776849,0.21311714322323627,-0.31834246751568435,-0.0018563631143006375,0.12780810641801532,-0.11333071690976165,-0.08263526006478489,-0.051968361090908854,-0.041496259734491184,-0.2650449661923037,-0.3055179928988846,-0.24271602936111933,0.1495279750987485,-0.17530891417057398,0.5257204705387636
lm_negative_share,0.24628924955988865,0.2759831942527577,0.32200434201397166,-0.428442163474401,-0.031125283079341107,-0.18215924876671294,0.18132280440715431,0.004466322589250804,-0.08060602393678193,0.0574528950110143,0.028531978851922886,0.19418931572776849,0.9999999999999999,0.5911009190658176,-0.17627044459096283,0.1846667125010552,-0.12060435098403224,-0.029726463140974577,0.019050969672791636,0.05827453625502242,0.06135411270360802,0.06224396325423813,0.04667885384780177,-0.3153963837144782,0.17022371936377215,-0.08008250217844956,0.2710378940034139
lm_uncertainty_share,0.25308411479531323,0.24547448815869824,0.3063815614598509,-0.5363794482049228,-0.006728492713139118,-0.4051099634955804,0.3899691302236604,0.07261625892316603,-0.09338372167738476,0.10536696871014246,-0.04213257461438476,0.21311714322323627,0.5911009190658176,0.9999999999999999,-0.1365945790084394,0.1327241776994292,-0.07709764216687016,-0.023323281498732706,0.06694735492276593,0.013006632419580909,0.026781413419644958,-0.006878692447572311,-0.007838859842675764,-0.3595360859242958,0.05277574419388064,-0.2185725232334733,0.15091136593468527
passive_voice_sentence_share,-0.10693693697621239,-0.18252772194145278,-0.1587833828333065,-0.1053304643020722,-0.10283427227299502,0.04452875508817788,-0.040816594704172086,-0.017647792726048873,0.01858798154264034,-0.025813901910236508,0.017765202165559393,-0.31834246751568435,-0.17627044459096283,-0.1365945790084394,0.9999999999999999,0.2341782058952165,-0.035347048183836806,0.08649876213649041,0.13101508958447883,0.07228355678000442,0.060228386276870584,0.26729223920347156,0.2725088824533979,0.040601130452969605,0.06767308946377046,0.10353636857023986,-0.3982584254882691
fog_index,0.12562020988284978,0.06577411241152341,0.13144581112706355,-0.2938140914597043,-0.077482123349205,-0.07847085742588472,0.04298947481676638,0.16769236058376555,-0.052486042358771155,0.032163994901186,0.028742570598790488,-0.0018563631143006375,0.1846667125010552,0.1327241776994292,0.2341782058952165,1.0,-0.0911807106473151,0.052625348793170136,0.038521882880233886,0.11089126953197465,0.11750765978956351,0.3830297857684894,0.34022297553251174,-0.4274381813261572,0.19815394587657892,-0.04688580894287241,-0.17004086806907578
ai_lm_positive_share,,-0.054320154872333375,-0.0937652467283252,0.07069944583626947,0.06959131913184112,0.0562879428775393,-0.0538713763016103,-0.011489449664512187,0.0984475707705581,-0.12971064786069594,0.08051275893517924,0.12780810641801532,-0.12060435098403224,-0.07709764216687016,-0.035347048183836806,-0.0911807106473151,0.9999999999999997,-0.19347815813832758,-0.1749964011891507,-0.11352729247102195,-0.0014038627698688784,-0.07743065447855878,-0.08074776028344303,0.08858065247076077,-0.0005818839234482925,0.03068718248830506,0.041408970655219424
ai_lm_negative_share,,-0.010665612558501354,0.08955662618715211,0.03340549863506952,-0.47925294365143956,0.008908550572231961,-0.004757995492857257,-0.01860860962261641,-0.17303778043891593,0.19493976965032697,-0.07748420711709449,-0.11333071690976165,-0.029726463140974577,-0.023323281498732706,0.08649876213649041,0.052625348793170136,-0.19347815813832758,0.9999999999999996,0.3599248021569428,0.15028746531844664,0.0671758926160068,-0.012057010684322685,0.005748494664215506,0.05683224889033606,0.01169676015510392,0.09944956441077127,-0.05194348119042437
ai_lm_uncertainty_share,,-0.03385461847809781,0.05273015403125445,-0.026489136564220733,-0.553970461331077,0.00039723341669230917,0.006662633120588695,-0.03146308711704961,-0.19508511815160892,0.2055378416287954,-0.05976711718222896,-0.08263526006478489,0.019050969672791636,0.06694735492276593,0.13101508958447883,0.038521882880233886,-0.1749964011891507,0.3599248021569428,0.9999999999999999,-0.04064812454066793,-0.06562762776432751,0.02092061627987246,0.02674907429362304,0.013063277136537627,0.03668369762326034,0.0605505349174183,-0.05247576849025269
ai_passive_voice_sentence_share,,0.01981572369200673,0.04705117566270476,-0.007529047655174204,-0.03181449598900278,0.00571921160912001,-0.007990951180810373,0.01004931559061827,-0.030020682475684627,0.04448547835147717,-0.03410618163358825,-0.051968361090908854,0.05827453625502242,0.013006632419580909,0.07228355678000442,0.11089126953197465,-0.11352729247102195,0.15028746531844664,-0.04064812454066793,0.9999999999999999,0.1584667934482315,0.003413683418132537,0.005704015836067241,-0.027754352983216993,0.054081176124347874,0.026990353375339133,-0.022940177236514817
ai_fog_index,,-0.1412405963629462,-0.16571084344608755,0.05251216576442022,-0.018193405280288795,0.11085166345658472,-0.09614627060167337,-0.06694651112520669,-0.04795722436032808,0.0641606244738071,-0.04110781013441728,-0.041496259734491184,0.06135411270360802,0.026781413419644958,0.060228386276870584,0.11750765978956351,-0.0014038627698688784,0.0671758926160068,-0.06562762776432751,0.1584667934482315,1.0,-0.002675510096728229,0.001266186171650052,0.043092769040082086,0.06989551889415606,0.10425696432774875,-0.015206364215545066
log_report_word_count,0.10218129478171582,0.06918872534030596,0.11317396555113476,-0.2117039921700291,-0.12090213969568936,0.1106452068659548,-0.12920538396311215,0.08728756111131261,0.006643571811320708,0.0018701659792463253,-0.01514961069921475,-0.2650449661923037,0.06224396325423813,-0.006878692447572311,0.26729223920347156,0.3830297857684894,-0.07743065447855878,-0.012057010684322685,0.02092061627987246,0.003413683418132537,-0.002675510096728229,1.0,0.9297205172276582,-0.08784100086559388,-0.03577599401854858,0.12827251305949788,-0.5265709463284051
report_word_count,0.07524948005695803,0.04167284028589875,0.08210285517419019,-0.19571209703918882,-0.12068692059851938,0.10177347007212541,-0.1121617940568049,0.048742368797891476,-0.006231718452841959,0.018517903198969916,-0.02506661863924547,-0.3055179928988846,0.04667885384780177,-0.007838859842675764,0.2725088824533979,0.34022297553251174,-0.08074776028344303,0.005748494664215506,0.02674907429362304,0.005704015836067241,0.001266186171650052,0.9297205172276582,0.9999999999999997,-0.07375493566968648,-0.0002085201611094928,0.19209821179531625,-0.5756271828597007
numeric_token_share,-0.2735286641914137,-0.2635844132462547,-0.3253138901414332,0.3148885295130687,-0.06025132691442233,0.5426508412011237,-0.5183950494396641,-0.11602947900466526,0.0309966171920044,-0.03804154702177697,0.019927940418047334,-0.24271602936111933,-0.3153963837144782,-0.3595360859242958,0.040601130452969605,-0.4274381813261572,0.08858065247076077,0.05683224889033606,0.013063277136537627,-0.027754352983216993,0.043092769040082086,-0.08784100086559388,-0.07375493566968648,1.0,-0.03765943468485098,0.2669277430737955,-0.22810824156063433
average_word_length,0.18162846535365954,0.08795687679797286,0.1746055187622724,-0.18821534385025596,-0.058906071341636,-0.04118529878431236,0.11509070495099474,-0.3487099138516704,-0.0007817158170375553,-0.00906838233349536,0.018926132339586905,0.1495279750987485,0.17022371936377215,0.05277574419388064,0.06767308946377046,0.19815394587657892,-0.0005818839234482925,0.01169676015510392,0.03668369762326034,0.054081176124347874,0.06989551889415606,-0.03577599401854858,-0.0002085201611094928,-0.03765943468485098,1.0,0.6279396112393862,0.1495101771285295
lexical_density,0.023149855086057994,-0.04209765469361923,-0.01064434167015525,0.1824468177441805,-0.13928636165715835,0.11556039236636496,-0.028530113000960127,-0.4111042359618889,0.021814296093539996,-0.023838583872058408,0.008340588169781596,-0.17530891417057398,-0.08008250217844956,-0.2185725232334733,0.10353636857023986,-0.04688580894287241,0.03068718248830506,0.09944956441077127,0.0605505349174183,0.026990353375339133,0.10425696432774875,0.12827251305949788,0.19209821179531625,0.2669277430737955,0.6279396112393862,1.0,-0.06257947949164079
root_type_token_ratio,0.12817921779070107,0.13228584498426557,0.14554370366109118,0.14781818033304553,0.15624690438907232,-0.18709449489592353,0.19060230359632496,-0.016024131193784718,0.008862923324627039,-0.008255942752147884,0.0006191921519647684,0.5257204705387636,0.2710378940034139,0.15091136593468527,-0.3982584254882691,-0.17004086806907578,0.041408970655219424,-0.05194348119042437,-0.05247576849025269,-0.022940177236514817,-0.015206364215545066,-0.5265709463284051,-0.5756271828597007,-0.22810824156063433,0.1495101771285295,-0.06257947949164079,0.9999999999999999
