pilot_id,sample_year,snapshot_date,_company_key,cik,symbol,security,gics_sector,gics_sub_industry,sampling_seed,sector_population_n,sector_target_n,within_sector_random_order,selection_status,replacement_for,selection_reason,replacement_status,replaced_by,replacement_reason,original_pilot_id,replacement_pilot_id,reserve_order,analysis_included,final_sample_status,final_sample_id,accession_number,report_date,filing_date,primary_document,form,identity_status
P2025-051,2025,2026-01-01,cik:0000842023,0000842023,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,20250729,58,12,11,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-051,,,1,included,P2025-051,0001558370-25-011716,2025-06-30,2025-08-22,tech-20250630x10k.htm,10-K,verified_by_cik
P2025-052,2025,2026-01-01,cik:0001093557,0001093557,DXCM,Dexcom,Health Care,Health Care Equipment,20250729,58,12,12,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-052,,,1,included,P2025-052,0001093557-26-000027,2025-12-31,2026-02-12,dxcm-20251231.htm,10-K,verified_by_cik
P2025-053,2025,2026-01-01,cik:0000936468,0000936468,LMT,Lockheed Martin,Industrials,Aerospace & Defense,20250729,78,16,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-053,,,1,included,P2025-053,0001628280-26-004195,2025-12-31,2026-01-29,lmt-20251231.htm,10-K,verified_by_cik
P2025-054,2025,2026-01-01,cik:0000702165,0000702165,NSC,Norfolk Southern,Industrials,Rail Transportation,20250729,78,16,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-054,,,1,included,P2025-054,0001628280-26-006268,2025-12-31,2026-02-09,nsc-20251231.htm,10-K,verified_by_cik
P2025-055,2025,2026-01-01,cik:0000052988,0000052988,J,Jacobs Solutions,Industrials,Construction & Engineering,20250729,78,16,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-055,,,1,included,P2025-055,0001628280-25-053316,2025-09-26,2025-11-20,jec-20250926.htm,10-K,verified_by_cik
P2025-056,2025,2026-01-01,cik:0000105634,0000105634,EME,Emcor,Industrials,Construction & Engineering,20250729,78,16,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-056,,,1,included,P2025-056,0000105634-26-000025,2025-12-31,2026-02-26,eme-20251231.htm,10-K,verified_by_cik
P2025-057,2025,2026-01-01,cik:0000076334,0000076334,PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,20250729,78,16,5,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-057,,,1,included,P2025-057,0000076334-25-000035,2025-06-30,2025-08-22,ph-20250630.htm,10-K,verified_by_cik
P2025-058,2025,2026-01-01,cik:0000900075,0000900075,CPRT,Copart,Industrials,Diversified Support Services,20250729,78,16,6,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-058,,,1,included,P2025-058,0001628280-25-042946,2025-07-31,2025-09-26,cprt-20250731.htm,10-K,verified_by_cik
P2025-060,2025,2026-01-01,cik:0001090727,0001090727,UPS,United Parcel Service,Industrials,Air Freight & Logistics,20250729,78,16,8,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-060,,,1,included,P2025-060,0001628280-26-008432,2025-12-31,2026-02-17,ups-20251231.htm,10-K,verified_by_cik
P2025-061,2025,2026-01-01,cik:0001048911,0001048911,FDX,FedEx,Industrials,Air Freight & Logistics,20250729,78,16,9,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-061,,,1,included,P2025-061,0001048911-25-000011,2025-05-31,2025-07-21,fdx-20250531.htm,10-K,verified_by_cik
P2025-062,2025,2026-01-01,cik:0001067701,0001067701,URI,United Rentals,Industrials,Trading Companies & Distributors,20250729,78,16,10,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-062,,,1,included,P2025-062,0001067701-26-000007,2025-12-31,2026-01-28,uri-20251231.htm,10-K,verified_by_cik
P2025-063,2025,2026-01-01,cik:0001316835,0001316835,BLDR,Builders FirstSource,Industrials,Building Products,20250729,78,16,11,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-063,,,1,included,P2025-063,0001193125-26-054643,2025-12-31,2026-02-17,bldr-20251231.htm,10-K,verified_by_cik
P2025-064,2025,2026-01-01,cik:0000040545,0000040545,GE,GE Aerospace,Industrials,Aerospace & Defense,20250729,78,16,12,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-064,,,1,included,P2025-064,0000040545-26-000008,2025-12-31,2026-01-29,ge-20251231.htm,10-K,verified_by_cik_and_ticker
P2025-065,2025,2026-01-01,cik:0001035983,0001035983,FIX,Comfort Systems USA,Industrials,Construction & Engineering,20250729,78,16,13,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-065,,,1,included,P2025-065,0001104659-26-017530,2025-12-31,2026-02-19,fix-20251231x10k.htm,10-K,verified_by_cik
P2025-066,2025,2026-01-01,cik:0000062996,0000062996,MAS,Masco,Industrials,Building Products,20250729,78,16,14,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-066,,,1,included,P2025-066,0000062996-26-000005,2025-12-31,2026-02-10,mas-20251231.htm,10-K,verified_by_cik
P2025-067,2025,2026-01-01,cik:0001474735,0001474735,GNRC,Generac,Industrials,Heavy Electrical Equipment,20250729,78,16,15,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-067,,,1,included,P2025-067,0001437749-26-004568,2025-12-31,2026-02-18,gnrc20251231_10k.htm,10-K,verified_by_cik
P2025-068,2025,2026-01-01,cik:0000092380,0000092380,LUV,Southwest Airlines,Industrials,Passenger Airlines,20250729,78,16,16,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-068,,,1,included,P2025-068,0000092380-26-000004,2025-12-31,2026-02-05,luv-20251231.htm,10-K,verified_by_cik
P2025-069,2025,2026-01-01,cik:0001535527,0001535527,CRWD,CrowdStrike,Information Technology,Systems Software,20250729,69,14,1,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-069,,,1,included,P2025-069,0001535527-25-000009,2025-01-31,2025-03-10,crwd-20250131.htm,10-K,verified_by_cik
P2025-070,2025,2026-01-01,cik:0000864749,0000864749,TRMB,Trimble Inc.,Information Technology,Application Software,20250729,69,14,2,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-070,,,1,included,P2025-070,0000864749-25-000090,2025-01-03,2025-04-25,trmb-20250103.htm,10-K,verified_by_cik
P2025-071,2025,2026-01-01,cik:0000050863,0000050863,INTC,Intel,Information Technology,Semiconductors,20250729,69,14,3,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-071,,,1,included,P2025-071,0000050863-26-000011,2025-12-27,2026-01-23,intc-20251227.htm,10-K,verified_by_cik
P2025-072,2025,2026-01-01,cik:0001561550,0001561550,DDOG,Datadog,Information Technology,Application Software,20250729,69,14,4,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-072,,,1,included,P2025-072,0001628280-26-008819,2025-12-31,2026-02-18,ddog-20251231.htm,10-K,verified_by_cik
P2025-073,2025,2026-01-01,cik:0000820313,0000820313,APH,Amphenol,Information Technology,Electronic Components,20250729,69,14,5,selected_pending_sec_validation,,sector_proportional_largest_remainder_seeded_order,not_replaced,,,P2025-073,,,1,included,P2025-073,0001104659-26-013549,2025-12-31,2026-02-11,aph-20251231x10k.htm,10-K,verified_by_cik
