company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_uncertainty_count,ai_uncertainty_ratio,ai_litigious_count,ai_litigious_ratio,ai_weak_modal_count,ai_weak_modal_ratio,ai_strong_modal_count,ai_strong_modal_ratio,ai_constraining_count,ai_constraining_ratio,ai_total_eligible_word_count,uncertainty_status,ai_positive_count,ai_negative_count,ai_positive_ratio,ai_negative_ratio,ai_net_tone,ai_sentiment_word_coverage,ai_net_tone_by_words,ai_total_lm_matched_word_count,sentiment_status,lm_ai_status
S2021-105,0001739940,CI,Cigna,0001739940-22-000007,2021,2022-02-24,1.0.3,0.3.0,1,0.004672897196261682,6,0.028037383177570093,0,0.0,0,0.0,0,0.0,214,success,5,1,0.02336448598130841,0.004672897196261682,0.6666666666666666,0.028037383177570093,0.018691588785046728,13,success,success
S2021-106,0000020286,CINF,Cincinnati Financial,0000020286-22-000012,2021,2022-02-24,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-107,0000723254,CTAS,Cintas,0000723254-21-000021,2021,2021-07-28,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-108,0000858877,CSCO,Cisco,0000858877-21-000013,2021,2021-09-09,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,130,success,5,0,0.038461538461538464,0.0,1.0,0.038461538461538464,0.038461538461538464,5,success,success
S2021-109,0000831001,C,Citigroup,0000831001-22-000036,2021,2022-02-28,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-110,0000759944,CFG,Citizens Financial Group,0000759944-22-000025,2021,2022-02-23,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,72,success,1,0,0.013888888888888888,0.0,1.0,0.013888888888888888,0.013888888888888888,1,success,success
S2021-111,0000021076,CLX,Clorox,0000021076-21-000016,2021,2021-08-10,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-112,0000021344,KO,Coca-Cola Company (The),0000021344-22-000009,2021,2022-02-22,1.0.3,0.3.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,83,success,2,0,0.024096385542168676,0.0,1.0,0.024096385542168676,0.024096385542168676,2,success,success
S2021-113,0001058290,CTSH,Cognizant,0001058290-22-000023,2021,2022-02-16,1.0.3,0.3.0,1,0.00411522633744856,2,0.00823045267489712,0,0.0,0,0.0,1,0.00411522633744856,243,success,5,1,0.0205761316872428,0.00411522633744856,0.6666666666666666,0.024691358024691357,0.01646090534979424,10,success,success
S2021-114,0000021665,CL,Colgate-Palmolive,0000021665-22-000003,2021,2022-02-17,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-115,0001166691,CMCSA,Comcast,0001166691-22-000009,2021,2022-02-02,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-116,0000023217,CAG,Conagra Brands,0001564590-21-037738,2021,2021-07-23,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-117,0001163165,COP,ConocoPhillips,0001562762-22-000031,2021,2022-02-17,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-118,0001047862,ED,Consolidated Edison,0001047862-22-000039,2021,2022-02-17,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-119,0000016918,STZ,Constellation Brands,0000016918-21-000060,2021,2021-04-20,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-120,0000711404,COO,Cooper Companies (The),0000711404-21-000038,2021,2021-12-10,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-121,0000900075,CPRT,Copart,0000900075-21-000022,2021,2021-09-27,1.0.3,0.3.0,1,0.02857142857142857,0,0.0,1,0.02857142857142857,0,0.0,0,0.0,35,success,0,0,0.0,0.0,,0.0,0.0,1,success,success
S2021-122,0000024741,GLW,Corning Inc.,0001437749-22-003247,2021,2022-02-14,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-123,0001755672,CTVA,Corteva,0001755672-22-000005,2021,2022-02-10,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-124,0000909832,COST,Costco,0000909832-21-000014,2021,2021-10-06,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-125,0001051470,CCI,Crown Castle,0001051470-22-000019,2021,2022-02-22,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-126,0000026172,CMI,Cummins,0000026172-22-000008,2021,2022-02-08,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-127,0000882184,DHI,D. R. Horton,0000882184-21-000190,2021,2021-11-18,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
S2021-128,0000936340,DTE,DTE Energy,0000936340-22-000077,2021,2022-02-10,1.0.3,0.3.0,,,,,,,,,,,0,warning_denominator_zero,,,,,,,,,warning_denominator_zero,warning_denominator_zero
