sample_order,company_id,final_sample_id,ticker,symbol,company_name,security,_company_key,cik,gics_sector,gics_sub_industry,accession_number,primary_document,form,filing_date,report_date,report_year,filing_url,source_manifest,sample_group,batch_id,r2_object_key,universe_order
74,S2024-074,S2024-074,BRO,BRO,Brown & Brown,Brown & Brown,cik:0000079282,0000079282,Financials,Insurance Brokers,0000950170-25-019039,bro-20241231.htm,10-K,2025-02-13,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/79282/000095017025019039/bro-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000079282/0000950170-25-019039.html,75
75,S2024-075,S2024-075,BF-B,BF-B,Brown–Forman,Brown–Forman,cik:0000014693,0000014693,Consumer Staples,Distillers & Vintners,0000014693-24-000086,bfb-20240430.htm,10-K,2024-06-14,2024-04-30,2024,https://www.sec.gov/Archives/edgar/data/14693/000001469324000086/bfb-20240430.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000014693/0000014693-24-000086.html,76
76,S2024-076,S2024-076,BLDR,BLDR,Builders FirstSource,Builders FirstSource,cik:0001316835,0001316835,Industrials,Building Products,0000950170-25-023953,bldr-20241231.htm,10-K,2025-02-20,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1316835/000095017025023953/bldr-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001316835/0000950170-25-023953.html,77
77,S2024-077,S2024-077,BG,BG,Bunge Global,Bunge Global,cik:0001996862,0001996862,Consumer Staples,Agricultural Products & Services,0001996862-25-000008,bg-20241231.htm,10-K,2025-02-20,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1996862/000199686225000008/bg-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001996862/0001996862-25-000008.html,78
78,S2024-078,S2024-078,CHRW,CHRW,C.H. Robinson,C.H. Robinson,cik:0001043277,0001043277,Industrials,Air Freight & Logistics,0001043277-25-000012,chrw-20241231.htm,10-K,2025-02-14,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1043277/000104327725000012/chrw-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001043277/0001043277-25-000012.html,79
79,S2024-079,S2024-079,CBRE,CBRE,CBRE Group,CBRE Group,cik:0001138118,0001138118,Real Estate,Real Estate Services,0001138118-25-000005,cbre-20241231.htm,10-K,2025-02-14,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1138118/000113811825000005/cbre-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001138118/0001138118-25-000005.html,80
80,S2024-080,S2024-080,CDW,CDW,CDW Corporation,CDW Corporation,cik:0001402057,0001402057,Information Technology,Technology Distributors,0001402057-25-000018,cdw-20241231.htm,10-K,2025-02-21,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1402057/000140205725000018/cdw-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001402057/0001402057-25-000018.html,81
81,S2024-081,S2024-081,CF,CF,CF Industries,CF Industries,cik:0001324404,0001324404,Materials,Fertilizers & Agricultural Chemicals,0001324404-25-000006,cf-20241231.htm,10-K,2025-02-20,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1324404/000132440425000006/cf-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001324404/0001324404-25-000006.html,82
82,S2024-082,S2024-082,CME,CME,CME Group,CME Group,cik:0001156375,0001156375,Financials,Financial Exchanges & Data,0001156375-25-000021,cme-20241231.htm,10-K,2025-02-27,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1156375/000115637525000021/cme-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001156375/0001156375-25-000021.html,83
83,S2024-083,S2024-083,CMS,CMS,CMS Energy,CMS Energy,cik:0000811156,0000811156,Utilities,Multi-Utilities,0000811156-25-000036,cms-20241231.htm,10-K,2025-02-11,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/811156/000081115625000036/cms-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000811156/0000811156-25-000036.html,84
84,S2024-084,S2024-084,CSX,CSX,CSX Corporation,CSX Corporation,cik:0000277948,0000277948,Industrials,Rail Transportation,0000277948-25-000008,csx-20241231.htm,10-K,2025-02-27,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/277948/000027794825000008/csx-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000277948/0000277948-25-000008.html,85
85,S2024-085,S2024-085,CVS,CVS,CVS Health,CVS Health,cik:0000064803,0000064803,Health Care,Health Care Services,0000064803-25-000007,cvs-20241231.htm,10-K,2025-02-12,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/64803/000006480325000007/cvs-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000064803/0000064803-25-000007.html,86
86,S2024-086,S2024-086,CDNS,CDNS,Cadence Design Systems,Cadence Design Systems,cik:0000813672,0000813672,Information Technology,Application Software,0000813672-25-000024,cdns-20241231.htm,10-K,2025-02-21,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/813672/000081367225000024/cdns-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000813672/0000813672-25-000024.html,87
87,S2024-087,S2024-087,CZR,CZR,Caesars Entertainment,Caesars Entertainment,cik:0001590895,0001590895,,,0001590895-25-000068,czr-20241231.htm,10-K,2025-02-25,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1590895/000159089525000068/czr-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001590895/0001590895-25-000068.html,88
88,S2024-088,S2024-088,CPT,CPT,Camden Property Trust,Camden Property Trust,cik:0000906345,0000906345,Real Estate,Multi-Family Residential REITs,0000906345-25-000008,cpt-20241231.htm,10-K,2025-02-20,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/906345/000090634525000008/cpt-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000906345/0000906345-25-000008.html,89
89,S2024-089,S2024-089,CPB,CPB,Campbell's,Campbell's,cik:0000016732,0000016732,,,0000016732-24-000130,cpb-20240728.htm,10-K,2024-09-19,2024-07-28,2024,https://www.sec.gov/Archives/edgar/data/16732/000001673224000130/cpb-20240728.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000016732/0000016732-24-000130.html,90
90,S2024-090,S2024-090,COF,COF,Capital One,Capital One,cik:0000927628,0000927628,Financials,Consumer Finance,0000927628-25-000092,cof-20241231.htm,10-K,2025-02-20,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/927628/000092762825000092/cof-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000927628/0000927628-25-000092.html,91
91,S2024-091,S2024-091,KMX,KMX,CarMax,CarMax,cik:0001170010,0001170010,,,0001170010-24-000034,kmx-20240229.htm,10-K,2024-04-15,2024-02-29,2024,https://www.sec.gov/Archives/edgar/data/1170010/000117001024000034/kmx-20240229.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001170010/0001170010-24-000034.html,92
92,S2024-092,S2024-092,CAH,CAH,Cardinal Health,Cardinal Health,cik:0000721371,0000721371,Health Care,Health Care Distributors,0000721371-24-000056,cah-20240630.htm,10-K,2024-08-14,2024-06-30,2024,https://www.sec.gov/Archives/edgar/data/721371/000072137124000056/cah-20240630.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000721371/0000721371-24-000056.html,93
93,S2024-093,S2024-093,CCL,CCL,Carnival Corporation,Carnival Corporation,cik:0000815097,0000815097,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0000815097-25-000007,ccl-20241130.htm,10-K,2025-01-27,2024-11-30,2024,https://www.sec.gov/Archives/edgar/data/815097/000081509725000007/ccl-20241130.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000815097/0000815097-25-000007.html,94
94,S2024-094,S2024-094,CARR,CARR,Carrier Global,Carrier Global,cik:0001783180,0001783180,Industrials,Building Products,0001783180-25-000008,carr-20241231.htm,10-K,2025-02-11,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1783180/000178318025000008/carr-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001783180/0001783180-25-000008.html,95
95,S2024-095,S2024-095,CAT,CAT,Caterpillar Inc.,Caterpillar Inc.,cik:0000018230,0000018230,Industrials,Construction Machinery & Heavy Transportation Equipment,0000018230-25-000008,cat-20241231.htm,10-K,2025-02-14,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/18230/000001823025000008/cat-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0000018230/0000018230-25-000008.html,96
96,S2024-096,S2024-096,CBOE,CBOE,Cboe Global Markets,Cboe Global Markets,cik:0001374310,0001374310,Financials,Financial Exchanges & Data,0001628280-25-006984,cboe-20241231.htm,10-K,2025-02-21,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1374310/000162828025006984/cboe-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001374310/0001628280-25-006984.html,97
97,S2024-097,S2024-097,CE,CE,Celanese,Celanese,cik:0001306830,0001306830,,,0001306830-25-000027,ce-20241231.htm,10-K,2025-02-21,2024-12-31,2024,https://www.sec.gov/Archives/edgar/data/1306830/000130683025000027/ce-20241231.htm,2024/sp500_companies.csv,sample_2024,1,2024/sample_500/html/raw/0001306830/0001306830-25-000027.html,98
