company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,warning_type,warning_detail
P2025-054,0000702165,NSC,Norfolk Southern,0001628280-26-006268,2025,2026-02-09,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-055,0000052988,J,Jacobs Solutions,0001628280-25-053316,2025,2025-11-20,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-056,0000105634,EME,Emcor,0000105634-26-000025,2025,2026-02-26,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-057,0000076334,PH,Parker Hannifin,0000076334-25-000035,2025,2025-08-22,1.0.3,0.3.0,single_ai_sentence,AI-level values retained from one direct AI sentence
P2025-057,0000076334,PH,Parker Hannifin,0000076334-25-000035,2025,2025-08-22,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-058,0000900075,CPRT,Copart,0001628280-25-042946,2025,2025-09-26,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-060,0001090727,UPS,United Parcel Service,0001628280-26-008432,2025,2026-02-17,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-061,0001048911,FDX,FedEx,0001048911-25-000011,2025,2025-07-21,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-062,0001067701,URI,United Rentals,0001067701-26-000007,2025,2026-01-28,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-063,0001316835,BLDR,Builders FirstSource,0001193125-26-054643,2025,2026-02-17,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-064,0000040545,GE,GE Aerospace,0000040545-26-000008,2025,2026-01-29,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-065,0001035983,FIX,Comfort Systems USA,0001104659-26-017530,2025,2026-02-19,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-066,0000062996,MAS,Masco,0000062996-26-000005,2025,2026-02-10,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-067,0001474735,GNRC,Generac,0001437749-26-004568,2025,2026-02-18,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-068,0000092380,LUV,Southwest Airlines,0000092380-26-000004,2025,2026-02-05,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-069,0001535527,CRWD,CrowdStrike,0001535527-25-000009,2025,2025-03-10,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-070,0000864749,TRMB,Trimble Inc.,0000864749-25-000090,2025,2025-04-25,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-071,0000050863,INTC,Intel,0000050863-26-000011,2025,2026-01-23,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-072,0001561550,DDOG,Datadog,0001628280-26-008819,2025,2026-02-18,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-073,0000820313,APH,Amphenol,0001104659-26-013549,2025,2026-02-11,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-074,0001645590,HPE,Hewlett Packard Enterprise,0001645590-25-000130,2025,2025-12-18,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-075,0000319201,KLAC,KLA Corporation,0000319201-25-000024,2025,2025-08-08,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-076,0000068505,MSI,Motorola Solutions,0000068505-26-000010,2025,2026-02-12,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-077,0001045810,NVDA,Nvidia,0001045810-25-000023,2025,2025-02-26,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-078,0001601046,KEYS,Keysight Technologies,0001601046-25-000127,2025,2025-12-17,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-079,0001327811,WDAY,"Workday, Inc.",0001327811-25-000056,2025,2025-03-11,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-080,0001137789,STX,Seagate Technology,0001137789-25-000157,2025,2025-08-01,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-081,0001262039,FTNT,Fortinet,0001262039-26-000007,2025,2026-02-25,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-082,0001467373,ACN,Accenture,0001467373-25-000217,2025,2025-10-10,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-083,0000916076,MLM,Martin Marietta Materials,0001193125-26-059193,2025,2026-02-19,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-084,0000079879,PPG,PPG Industries,0000079879-26-000046,2025,2026-02-19,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-085,0001396009,VMC,Vulcan Materials Company,0001628280-26-009546,2025,2026-02-19,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-086,0000009389,BALL,Ball Corporation,0001104659-26-017410,2025,2026-02-19,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-087,0000849395,CRH,CRH plc,0001628280-26-009043,2025,2026-02-18,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-088,0000034903,FRT,Federal Realty Investment Trust,0000034903-26-000017,2025,2026-02-12,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-089,0001289490,EXR,Extra Space Storage,0001289490-26-000011,2025,2026-02-20,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
P2025-090,0001297996,DLR,Digital Realty,0001104659-26-015365,2025,2026-02-13,1.0.3,0.3.0,stem_collisions,ambiguous Porter stems excluded without score averaging
