company_id,cik,ticker,accession_number,detected_section_count,item_1_status,item_1a_status,item_7_status,item_8_status,not_present_count,section_warning_count,section_detection_status
P2025-055,0000052988,J,0001628280-25-053316,10,detected,detected,detected,detected,0,2,pass
P2025-056,0000105634,EME,0000105634-26-000025,9,not_present,detected,detected,detected,1,1,pass
P2025-057,0000076334,PH,0000076334-25-000035,10,detected,detected,detected,detected,0,1,pass
P2025-058,0000900075,CPRT,0001628280-25-042946,10,detected,detected,detected,detected,0,2,pass
P2025-060,0001090727,UPS,0001628280-26-008432,9,not_present,detected,detected,detected,1,2,pass
P2025-061,0001048911,FDX,0001048911-25-000011,10,detected,detected,detected,detected,0,1,pass
P2025-062,0001067701,URI,0001067701-26-000007,10,detected,detected,detected,detected,0,2,pass
P2025-063,0001316835,BLDR,0001193125-26-054643,4,not_present,detected,detected,detected,6,0,pass
P2025-064,0000040545,GE,0000040545-26-000008,0,not_present,not_present,not_present,not_present,10,0,warning
P2025-065,0001035983,FIX,0001104659-26-017530,10,detected,detected,detected,detected,0,2,pass
P2025-066,0000062996,MAS,0000062996-26-000005,9,not_present,detected,detected,detected,1,2,pass
P2025-067,0001474735,GNRC,0001437749-26-004568,10,detected,detected,detected,detected,0,2,pass
P2025-068,0000092380,LUV,0000092380-26-000004,9,not_present,detected,detected,detected,1,1,pass
P2025-069,0001535527,CRWD,0001535527-25-000009,10,detected,detected,detected,detected,0,1,pass
P2025-070,0000864749,TRMB,0000864749-25-000090,10,detected,detected,detected,detected,0,1,pass
P2025-071,0000050863,INTC,0000050863-26-000011,0,not_present,not_present,not_present,not_present,10,0,warning
P2025-072,0001561550,DDOG,0001628280-26-008819,10,detected,detected,detected,detected,0,1,pass
P2025-073,0000820313,APH,0001104659-26-013549,9,not_present,detected,detected,detected,1,1,pass
P2025-074,0001645590,HPE,0001645590-25-000130,10,detected,detected,detected,detected,0,2,pass
P2025-075,0000319201,KLAC,0000319201-25-000024,10,detected,detected,detected,detected,0,2,pass
P2025-076,0000068505,MSI,0000068505-26-000010,10,detected,detected,detected,detected,0,3,pass
P2025-077,0001045810,NVDA,0001045810-25-000023,10,detected,detected,detected,detected,0,2,pass
P2025-078,0001601046,KEYS,0001601046-25-000127,10,detected,detected,detected,detected,0,2,pass
P2025-079,0001327811,WDAY,0001327811-25-000056,10,detected,detected,detected,detected,0,1,pass
P2025-080,0001137789,STX,0001137789-25-000157,10,detected,detected,detected,detected,0,3,pass
P2025-081,0001262039,FTNT,0001262039-26-000007,10,detected,detected,detected,detected,0,1,pass
P2025-082,0001467373,ACN,0001467373-25-000217,10,detected,detected,detected,detected,0,3,pass
P2025-083,0000916076,MLM,0001193125-26-059193,10,detected,detected,detected,detected,0,0,pass
P2025-084,0000079879,PPG,0000079879-26-000046,9,not_present,detected,detected,detected,1,1,pass
P2025-085,0001396009,VMC,0001628280-26-009546,0,not_present,not_present,not_present,not_present,10,0,warning
P2025-086,0000009389,BALL,0001104659-26-017410,10,detected,detected,detected,detected,0,3,pass
P2025-087,0000849395,CRH,0001628280-26-009043,10,detected,detected,detected,detected,0,2,pass
P2025-088,0000034903,FRT,0000034903-26-000017,10,detected,detected,detected,detected,0,1,pass
P2025-089,0001289490,EXR,0001289490-26-000011,10,detected,detected,detected,detected,0,2,pass
P2025-090,0001297996,DLR,0001104659-26-015365,10,detected,detected,detected,detected,0,1,pass
P2025-091,0000920522,ESS,0000920522-26-000003,10,detected,detected,detected,detected,0,2,pass
P2025-092,0001705696,VICI,0001705696-26-000034,1,not_present,not_present,not_present,not_present,9,0,warning
P2025-093,0000074208,UDR,0000074208-26-000013,8,detected,not_present,not_present,detected,2,2,warning
P2025-094,0001687229,INVH,0001687229-26-000016,10,detected,detected,detected,detected,0,2,pass
P2025-095,0001004980,PCG,0001004980-26-000009,10,detected,detected,detected,detected,0,2,pass
P2025-096,0000715957,D,0001193125-26-063120,9,detected,detected,not_present,detected,1,0,warning
P2025-097,0000764622,PNW,0000764622-26-000011,9,not_present,detected,detected,detected,1,2,pass
P2025-098,0000065984,ETR,0000065984-26-000174,10,detected,detected,detected,detected,0,3,pass
P2025-099,0001013871,NRG,0001013871-26-000004,10,detected,detected,detected,detected,0,1,pass
P2025-100,0000788784,PEG,0001193125-26-077446,10,detected,detected,detected,detected,0,0,pass
P2025-R001,0000049826,ITW,0000049826-26-000008,9,not_present,detected,detected,detected,1,2,pass
