company_id,cik,ticker,accession_number,html_file_bytes,analysis_text_bytes,structure_preserved_text_bytes,table_text_bytes,analysis_to_html_size_ratio,word_count,paragraph_count,sentence_count,detected_section_count,item_1_detected,item_1a_detected,item_7_detected,item_8_detected,html_tag_residual_count,javascript_residual_count,css_residual_count,xbrl_namespace_residual_count,broken_character_count,numeric_token_ratio,very_short_sentence_ratio,very_long_sentence_ratio,table_marker_contamination,warning_count,quality_status
P2025-055,0000052988,J,0001628280-25-053316,3349864,417340,422300,90276,0.124584,61964,1236,2527,10,1,1,1,1,0,0,0,0,0,0.034536,0.13375544123466562,0.0051444400474871385,0,1,warning
P2025-056,0000105634,EME,0000105634-26-000025,2769673,319348,322988,63338,0.115302,47325,884,1897,9,0,1,1,1,0,0,0,0,0,0.033999,0.07221929362150764,0.006852925672113864,0,0,pass
P2025-057,0000076334,PH,0000076334-25-000035,2461050,203221,207021,66060,0.082575,30252,678,1447,10,1,1,1,1,0,0,0,0,0,0.035469,0.10297166551485833,0.000691085003455425,0,0,pass
P2025-058,0000900075,CPRT,0001628280-25-042946,2029406,268571,271211,38567,0.13234,40534,791,1723,10,1,1,1,1,0,0,0,0,0,0.024424,0.10214741729541497,0.0046430644225188625,0,0,pass
P2025-060,0001090727,UPS,0001628280-26-008432,4075933,358467,362787,79243,0.087947,53330,1390,2807,9,0,1,1,1,0,0,0,0,0,0.035008,0.13430708941930888,0.0003562522265764161,0,0,pass
P2025-061,0001048911,FDX,0001048911-25-000011,3450652,444621,448861,90881,0.128851,65613,1306,3016,10,1,1,1,1,0,0,0,0,0,0.033698,0.1289787798408488,0.0029840848806366046,0,0,pass
P2025-062,0001067701,URI,0001067701-26-000007,2629421,323944,326944,73335,0.1232,49187,938,2095,10,1,1,1,1,0,0,0,0,0,0.037002,0.08973747016706445,0.002863961813842482,0,0,pass
P2025-063,0001316835,BLDR,0001193125-26-054643,3221548,364679,366559,36787,0.1132,54701,752,2274,4,0,1,1,1,0,0,0,0,0,0.030347,0.0853122251539138,0.0013192612137203166,0,0,pass
P2025-064,0000040545,GE,0000040545-26-000008,3254149,311089,315369,89094,0.095598,46361,668,1837,0,0,0,0,0,0,0,0,0,0,0.040724,0.08274360370168754,0.003810560696788242,0,1,warning
P2025-065,0001035983,FIX,0001104659-26-017530,3051116,345839,349679,44630,0.113348,52151,710,2076,10,1,1,1,1,0,0,0,0,0,0.027938,0.07707129094412331,0.004335260115606936,0,1,warning
P2025-066,0000062996,MAS,0000062996-26-000005,2263939,189536,192736,41537,0.08372,28359,738,1398,9,0,1,1,1,0,0,0,0,0,0.035509,0.18025751072961374,0.002145922746781116,0,0,pass
P2025-067,0001474735,GNRC,0001437749-26-004568,3311733,332641,341001,93994,0.100443,49980,737,1967,10,1,1,1,1,0,0,0,0,0,0.031533,0.06761565836298933,0.004067107269954245,0,0,pass
P2025-068,0000092380,LUV,0000092380-26-000004,2847406,481593,485313,63887,0.169134,71404,1110,2832,9,0,1,1,1,0,0,0,0,0,0.03595,0.09004237288135593,0.003884180790960452,0,0,pass
P2025-069,0001535527,CRWD,0001535527-25-000009,2384579,454614,457414,41633,0.190647,67654,1204,2718,10,1,1,1,1,0,0,0,0,0,0.022807,0.08940397350993377,0.004047093451066961,0,0,pass
P2025-070,0000864749,TRMB,0000864749-25-000090,2002287,269684,272164,42495,0.134688,39620,945,1852,10,1,1,1,1,0,0,0,0,0,0.021706,0.09773218142548597,0.0010799136069114472,0,0,pass
P2025-071,0000050863,INTC,0000050863-26-000011,3320720,423692,435172,100361,0.12759,63475,1066,2524,0,0,0,0,0,0,0,0,0,0,0.035321,0.08557844690966719,0.0027733755942947703,0,1,warning
P2025-072,0001561550,DDOG,0001628280-26-008819,2086014,350807,353607,37696,0.168171,52711,972,2167,10,1,1,1,1,0,0,0,0,0,0.023657,0.08860175357637287,0.0023073373327180432,0,0,pass
P2025-073,0000820313,APH,0001104659-26-013549,5318142,466498,471578,75094,0.087718,70139,795,2474,9,0,1,1,1,0,0,0,0,0,0.04752,0.07962813257881972,0.007275666936135812,0,0,pass
P2025-074,0001645590,HPE,0001645590-25-000130,4814483,555988,561908,101494,0.115482,82138,1581,3336,10,1,1,1,1,0,0,0,0,0,0.026821,0.08693045563549161,0.00539568345323741,0,0,pass
P2025-075,0000319201,KLAC,0000319201-25-000024,2891232,390754,394474,62161,0.135151,58876,973,2264,10,1,1,1,1,0,0,0,0,0,0.026394,0.07862190812720848,0.005742049469964664,0,0,pass
P2025-076,0000068505,MSI,0000068505-26-000010,3456048,373166,378286,76351,0.107975,56020,1033,2269,10,1,1,1,1,0,0,0,0,0,0.040396,0.10445130013221683,0.005288673424416042,0,1,warning
P2025-077,0001045810,NVDA,0001045810-25-000023,2067520,312281,315001,38164,0.151041,46511,983,2003,10,1,1,1,1,0,0,0,0,0,0.026574,0.08587119321018473,0.0014977533699450823,0,0,pass
P2025-078,0001601046,KEYS,0001601046-25-000127,3306959,395070,398830,59267,0.119466,58273,1045,2579,10,1,1,1,1,0,0,0,0,0,0.034047,0.0957735556417216,0.004265219077161691,0,1,warning
P2025-079,0001327811,WDAY,0001327811-25-000056,2213906,309581,312901,39294,0.139835,46260,943,1919,10,1,1,1,1,0,0,0,0,0,0.023195,0.11151641479937467,0.005732152162584679,0,0,pass
P2025-080,0001137789,STX,0001137789-25-000157,2461150,321404,324324,62122,0.130591,48417,978,2094,10,1,1,1,1,0,0,0,0,0,0.028812,0.11413562559694365,0.0028653295128939827,0,1,warning
P2025-081,0001262039,FTNT,0001262039-26-000007,2693095,462234,465434,43490,0.171637,68481,1213,2700,10,1,1,1,1,0,0,0,0,0,0.0191,0.08333333333333333,0.002962962962962963,0,0,pass
P2025-082,0001467373,ACN,0001467373-25-000217,2819249,282664,290184,82243,0.100262,42248,809,1763,10,1,1,1,1,0,0,0,0,0,0.028001,0.11174134997163924,0.0022688598979013048,0,1,warning
P2025-083,0000916076,MLM,0001193125-26-059193,7481813,503054,511854,78333,0.067237,73599,1242,3134,10,1,1,1,1,0,0,0,0,0,0.032691,0.05264837268666241,0.0038289725590299937,0,0,pass
P2025-084,0000079879,PPG,0000079879-26-000046,2884976,251725,256245,68954,0.087254,37553,891,1719,9,0,1,1,1,0,0,0,0,0,0.045589,0.11227457824316463,0.0029086678301337987,0,0,pass
P2025-085,0001396009,VMC,0001628280-26-009546,3726422,347408,358568,72438,0.093228,52469,1392,2713,0,0,0,0,0,0,0,0,0,0,0.0409,0.14190932546995946,0.0007371913011426465,0,1,warning
P2025-086,0000009389,BALL,0001104659-26-017410,4515965,306800,316080,72842,0.067937,46022,841,1955,10,1,1,1,1,0,0,0,0,0,0.039177,0.12122762148337596,0.0020460358056265983,0,1,warning
P2025-087,0000849395,CRH,0001628280-26-009043,3553852,321341,330101,85262,0.09042,47543,1149,2141,10,1,1,1,1,0,0,0,0,0,0.041899,0.14852872489490893,0.0028024287716020553,0,1,warning
P2025-088,0000034903,FRT,0000034903-26-000017,3868119,278339,281939,113764,0.071957,42924,1087,1940,10,1,1,1,1,0,0,0,0,0,0.04091,0.11855670103092783,0.002577319587628866,0,0,pass
P2025-089,0001289490,EXR,0001289490-26-000011,2757642,238260,241140,68174,0.0864,36470,792,1646,10,1,1,1,1,0,0,0,0,0,0.030573,0.08566221142162819,0.001215066828675577,0,1,warning
P2025-090,0001297996,DLR,0001104659-26-015365,8453067,534321,552161,197308,0.06321,80932,1526,3641,10,1,1,1,1,0,0,0,0,0,0.032015,0.1010711343037627,0.0035704476792090085,0,0,pass
P2025-091,0000920522,ESS,0000920522-26-000003,5662346,350183,354143,108365,0.061844,52824,1114,2305,10,1,1,1,1,0,0,0,0,0,0.045964,0.1631236442516269,0.004772234273318872,0,1,warning
P2025-092,0001705696,VICI,0001705696-26-000034,3435838,418863,423743,79997,0.12191,64238,1280,2314,1,0,0,0,0,0,0,0,0,0,0.027274,0.12359550561797752,0.00950734658599827,0,1,warning
P2025-093,0000074208,UDR,0000074208-26-000013,8540069,460061,473421,154836,0.053871,71139,1124,2761,8,1,0,0,1,0,0,0,0,0,0.037012,0.1358203549438609,0.007605939876856212,0,1,warning
P2025-094,0001687229,INVH,0001687229-26-000016,3038715,470758,473358,61096,0.15492,70892,1382,2756,10,1,1,1,1,0,0,0,0,0,0.026547,0.09796806966618288,0.0050798258345428155,0,0,pass
P2025-095,0001004980,PCG,0001004980-26-000009,4814550,506692,513332,138666,0.105242,75020,1504,3093,10,1,1,1,1,0,0,0,0,0,0.037017,0.08535402521823472,0.0038797284190106693,0,1,warning
P2025-096,0000715957,D,0001193125-26-063120,18147230,1129569,1136249,161842,0.062245,168599,2372,6500,9,1,1,0,1,0,0,0,0,0,0.047414,0.06584615384615385,0.004,0,1,warning
P2025-097,0000764622,PNW,0000764622-26-000011,5657541,509937,515977,126730,0.090134,76965,1603,3648,9,0,1,1,1,0,0,0,0,0,0.037848,0.09237938596491228,0.001644736842105263,0,0,pass
P2025-098,0000065984,ETR,0000065984-26-000174,15277598,1589478,1607318,368754,0.10404,237550,4830,9715,10,1,1,1,1,0,0,0,0,0,0.041082,0.0638188368502316,0.004323211528564077,0,0,pass
P2025-099,0001013871,NRG,0001013871-26-000004,5639759,488937,496217,132766,0.086695,74062,1520,3208,10,1,1,1,1,0,0,0,0,0,0.039845,0.08385286783042394,0.0018703241895261845,0,0,pass
P2025-100,0000788784,PEG,0001193125-26-077446,15018947,730197,736437,93380,0.048618,110803,1875,5010,10,1,1,1,1,0,0,0,0,0,0.034855,0.09101796407185629,0.001996007984031936,0,0,pass
P2025-R001,0000049826,ITW,0000049826-26-000008,2583783,231654,235414,57377,0.089657,34389,838,1675,9,0,1,1,1,0,0,0,0,0,0.05179,0.06925373134328358,0.001791044776119403,0,0,pass
