company_id,cik,ticker,company_name,accession_number,report_year,filing_date,ai_disclosure_binary,ai_term_count,ai_terms_per_1000_words,ai_sentence_count,ai_sentence_ratio,total_analysis_word_count,total_analysis_sentence_count,ai_detection_status
S2022-142,0000715957,D,Dominion Energy,0000950170-23-003287,2022,2023-02-21,0,0,0.0,0,0.0,169542,6968,success
S2022-143,0001286681,DPZ,Domino's,0000950170-22-002426,2022,2022-03-01,0,0,0.0,0,0.0,63732,2823,success
S2022-144,0000029905,DOV,Dover Corporation,0000029905-23-000008,2022,2023-02-10,1,2,0.04501665616278023,2,0.0008849557522123894,44428,2260,success
S2022-145,0001751788,DOW,Dow Inc.,0001751788-23-000014,2022,2023-02-01,1,1,0.01663533678239316,1,0.00032690421706440013,60113,3059,success
S2022-146,0001666700,DD,DuPont,0001666700-23-000008,2022,2023-02-15,0,0,0.0,0,0.0,59977,2919,success
S2022-147,0001326160,DUK,Duke Energy,0001326160-23-000073,2022,2023-02-27,0,0,0.0,0,0.0,97581,5860,success
S2022-148,0000821189,EOG,EOG Resources,0000821189-23-000015,2022,2023-02-23,0,0,0.0,0,0.0,52487,2397,success
S2022-149,0001352010,EPAM,EPAM Systems,0001352010-23-000013,2022,2023-02-24,1,2,0.04398311048557354,2,0.0010277492291880781,45472,1946,success
S2022-150,0000033213,EQT,EQT Corporation,0000033213-23-000008,2022,2023-02-16,0,0,0.0,0,0.0,63014,2795,success
S2022-151,0000915389,EMN,Eastman Chemical Co.,0000915389-23-000015,2022,2023-02-15,1,2,0.04371106982843405,2,0.0009174311926605505,45755,2180,success
S2022-152,0001551182,ETN,Eaton Corporation,0001551182-23-000004,2022,2023-02-23,0,0,0.0,0,0.0,32960,1719,success
S2022-153,0000031462,ECL,Ecolab,0001558370-23-001969,2022,2023-02-24,1,1,0.015430431897788819,1,0.0002984183825723665,64807,3351,success
S2022-154,0000827052,EIX,Edison International,0000827052-23-000010,2022,2023-02-23,0,0,0.0,0,0.0,92988,4319,success
S2022-155,0001099800,EW,Edwards Lifesciences,0001099800-23-000005,2022,2023-02-13,0,0,0.0,0,0.0,39173,2006,success
S2022-156,0000712515,EA,Electronic Arts,0000712515-22-000011,2022,2022-05-25,1,1,0.02288486623795684,1,0.0005296610169491525,43697,1888,success
S2022-157,0001156039,ELV,Elevance Health,0001156039-23-000007,2022,2023-02-15,0,0,0.0,0,0.0,75339,3394,success
S2022-158,0000032604,EMR,Emerson Electric,0000032604-22-000041,2022,2022-11-14,1,1,0.026808932736387764,1,0.0005773672055427252,37301,1732,success
S2022-159,0001463101,ENPH,Enphase Energy,0001463101-23-000025,2022,2023-02-13,0,0,0.0,0,0.0,68517,2985,success
S2022-160,0000065984,ETR,Entergy,0000065984-23-000014,2022,2023-02-24,0,0,0.0,0,0.0,241361,11304,success
S2022-161,0000033185,EFX,Equifax,0000033185-23-000012,2022,2023-02-23,1,10,0.18544618351754322,6,0.0023032629558541267,53924,2605,success
S2022-162,0001101239,EQIX,Equinix,0001628280-23-004039,2022,2023-02-17,0,0,0.0,0,0.0,62875,3182,success
S2022-163,0000906107,EQR,Equity Residential,0000950170-23-003060,2022,2023-02-16,0,0,0.0,0,0.0,62552,2924,success
S2022-164,0000920522,ESS,Essex Property Trust,0000920522-23-000005,2022,2023-02-23,0,0,0.0,0,0.0,51722,2516,success
S2022-165,0001001250,EL,Estée Lauder Companies (The),0001001250-22-000122,2022,2022-08-24,0,0,0.0,0,0.0,56517,2761,success
S2022-166,0001370637,ETSY,Etsy,0001370637-23-000017,2022,2023-02-23,1,9,0.1182281540644212,7,0.002056404230317274,76124,3404,success
S2022-167,0001711269,EVRG,Evergy,0001711269-23-000011,2022,2023-02-24,0,0,0.0,0,0.0,62636,3167,success
S2022-168,0000072741,ES,Eversource Energy,0000072741-23-000004,2022,2023-02-15,0,0,0.0,0,0.0,106065,4735,success
S2022-169,0001109357,EXC,Exelon,0001109357-23-000018,2022,2023-02-14,0,0,0.0,0,0.0,87143,5206,success
S2022-170,0001324424,EXPE,Expedia Group,0001324424-23-000007,2022,2023-02-10,1,2,0.03762085700312253,2,0.0008576329331046312,53162,2332,success
S2022-171,0000746515,EXPD,Expeditors International,0000950170-23-005412,2022,2023-03-01,0,0,0.0,0,0.0,43626,2037,success
S2022-172,0001289490,EXR,Extra Space Storage,0001628280-23-005628,2022,2023-02-28,0,0,0.0,0,0.0,35828,1803,success
S2022-173,0000034088,XOM,ExxonMobil,0000034088-23-000020,2022,2023-02-22,0,0,0.0,0,0.0,41473,2344,success
S2022-174,0001048695,FFIV,"F5, Inc.",0001048695-22-000033,2022,2022-11-15,1,10,0.23752404930999263,7,0.003482587064676617,42101,2010,success
S2022-175,0000037785,FMC,FMC Corporation,0000037785-23-000019,2022,2023-02-24,1,2,0.03703635117868188,1,0.00035739814152966406,54001,2798,success
