company_id,cik,ticker,company_name,accession_number,report_year,filing_date,parser_version,language_measurement_version,ai_concreteness_mean,ai_concreteness_median,ai_concreteness_standard_deviation,ai_concreteness_min,ai_concreteness_max,ai_concreteness_matched_token_count,ai_concreteness_eligible_token_count,ai_concreteness_unmatched_token_count,ai_concreteness_coverage,ai_concreteness_unique_dictionary_entries,ai_concreteness_stem_collision_count,ai_concreteness_status
S2022-086,0000927628,COF,Capital One,0000927628-23-000117,2022,2023-02-24,1.0.3,0.3.0,3.0148,3.03,0.8004104946838216,1.83,4.54,25,31,6,0.8064516129032258,21,4,warning_stem_collisions
S2022-087,0001170010,KMX,CarMax,0001170010-22-000017,2022,2022-04-14,1.0.3,0.3.0,2.9028571428571426,2.86,0.6633360339055545,1.8,4.25,35,41,6,0.8536585365853658,28,6,warning_stem_collisions
S2022-088,0000721371,CAH,Cardinal Health,0000721371-22-000058,2022,2022-08-11,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-089,0000815097,CCL,Carnival Corporation,0000815097-23-000012,2022,2023-01-27,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-090,0001783180,CARR,Carrier Global,0001783180-23-000012,2022,2023-02-07,1.0.3,0.3.0,3.2350000000000003,3.035,0.7431016081263718,2.24,4.25,8,13,5,0.6153846153846154,8,5,warning_stem_collisions
S2022-091,0000018230,CAT,Caterpillar Inc.,0000018230-23-000011,2022,2023-02-15,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-092,0001374310,CBOE,Cboe Global Markets,0001558370-23-001489,2022,2023-02-17,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-093,0001306830,CE,Celanese,0001306830-23-000023,2022,2023-02-24,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-094,0001071739,CNC,Centene Corporation,0001071739-23-000047,2022,2023-02-21,1.0.3,0.3.0,2.713,2.77,0.8383680575976163,1.63,4.48,10,15,5,0.6666666666666666,10,3,warning_stem_collisions
S2022-095,0001130310,CNP,CenterPoint Energy,0001130310-23-000013,2022,2023-02-17,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-096,0001100682,CRL,Charles River Laboratories,0001100682-23-000006,2022,2023-02-22,1.0.3,0.3.0,3.599285714285714,3.8550000000000004,1.026961289336613,1.93,4.93,14,16,2,0.875,13,1,warning_stem_collisions
S2022-097,0000316709,SCHW,Charles Schwab Corporation,0000316709-23-000009,2022,2023-02-24,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-098,0001091667,CHTR,Charter Communications,0001091667-23-000024,2022,2023-01-27,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-099,0000093410,CVX,Chevron Corporation,0000093410-23-000009,2022,2023-02-23,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-100,0001058090,CMG,Chipotle Mexican Grill,0001058090-23-000010,2022,2023-02-09,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
S2022-101,0000896159,CB,Chubb Limited,0000896159-23-000007,2022,2023-02-24,1.0.3,0.3.0,,,,,,0,0,0,,0,0,warning_denominator_zero
