variable,report_year,paired_firm_count,mean_within_firm_change,median_within_firm_change,standard_deviation,p25,p75
present_tense_share,2012,49,0.0049342947900179,0.0069735467194632,0.018196449597424,-0.0028112088861355,0.0173691588472124
present_tense_share,2013,67,0.0018987767165017,0.0024546438065263,0.0201799303191029,-0.004858609455672,0.0140166087530737
present_tense_share,2014,90,0.0033931520852676,0.0030844162638229,0.0194306358634933,-0.0092659227292134,0.0144116237165782
present_tense_share,2015,131,-0.0011316434295463,-0.0007657075418679,0.0234684413057972,-0.0111781782751622,0.0106197071239468
present_tense_share,2016,171,0.0031350241452672,0.0025951635280665,0.024321667211463,-0.0071089489108761,0.0158208622649498
present_tense_share,2017,239,0.0021694164448412,0.0013988244989855,0.0186608642894335,-0.0069761713297324,0.0106391358148872
present_tense_share,2018,306,0.0026120461561001,0.0027717495372596,0.0189124529588458,-0.0083539677217625,0.0130792097871637
present_tense_share,2019,373,0.0114765827557548,0.0125212419943989,0.0256139870301394,-0.0007437938843856,0.0260568867501121
present_tense_share,2020,424,0.002083128423096,0.0026032069341486,0.0241343773256161,-0.0104312475779591,0.0157917939742579
present_tense_share,2021,434,0.0104506861100699,0.0093230541682042,0.0196426006339472,-0.0013788908322131,0.0216372672649211
present_tense_share,2022,452,0.0062435139115956,0.0065684581928374,0.0173246566670956,-0.0036222464052458,0.0166875596583143
present_tense_share,2023,458,0.0091476702888177,0.0091072171992879,0.0162477065321855,-0.0001254873252629,0.0184634286404908
present_tense_share,2024,465,0.0054224064420594,0.0054197143852317,0.015717625498693,-0.0032342284739982,0.0143111277827983
present_tense_share,2025,462,0.0021452903295904,0.0021070101855076,0.0156867411953439,-0.0069888835812603,0.0117511991774632
future_tense_share,2007,12,-0.0012717485328097,-0.0011742213125385,0.0095381484045266,-0.00483739780172,0.0012754399988943
future_tense_share,2008,20,-0.0003908535023484,0.0005032548969076,0.0048105827558133,-0.0021175796354855,0.0023780232284245
future_tense_share,2009,33,-0.0021746347600642,-0.0031394853845426,0.0063483776532197,-0.0058599235569231,0.0017358490566037
future_tense_share,2010,39,-0.0004306860465211,-0.000108695898315,0.0067864987551185,-0.0038679708797109,0.0029002945883049
future_tense_share,2011,43,7.484397909305356e-05,-8.062490503320252e-05,0.0060746085503741,-0.0021305461769574,0.0035866847651123
future_tense_share,2012,49,-0.0006584590283399,-0.0007952216017531,0.0057214021404161,-0.0029019003595274,0.0020359619416224
future_tense_share,2013,67,-0.0006445124366194,-0.0008645270885155,0.003985012478332,-0.0026045541064083,0.0015894209440327
future_tense_share,2014,90,0.0002002027802239,-8.802923422739951e-05,0.0077280719103479,-0.0031144133599152,0.0039100369327677
future_tense_share,2015,131,0.0001006593386823,1.3310970902298548e-05,0.0057920667131412,-0.0025889768315853,0.0033582202800513
future_tense_share,2016,171,0.0010564365993813,0.0013408140911982,0.0057183885734382,-0.0023447952540648,0.0050402362485082
future_tense_share,2017,239,0.0004462699878313,0.0016786588431698,0.0137583713393694,-0.0017172940045388,0.0044594522238898
future_tense_share,2018,306,-0.0023633064802546,-0.002756813322597,0.0064088164089587,-0.006077097164711,0.0010144315454055
future_tense_share,2019,373,-0.0027569706717836,-0.0026875461023322,0.0056976060636147,-0.0058255814505447,0.0010509710439599
future_tense_share,2020,424,-0.0008331343921087,-0.000842458179361,0.0057097470099989,-0.0038480797543604,0.0023828585818612
future_tense_share,2021,434,-0.0006893648088466,-0.0004644079694758,0.0043069807313119,-0.0031751668793844,0.0018928732445488
future_tense_share,2022,452,-0.000657190881356,-0.0006278341620995,0.0045892985182243,-0.0030085231915226,0.0018012327653152
future_tense_share,2023,458,-0.0007399881587779,-0.0006833969529437,0.0042178801660603,-0.0029811863942549,0.0016175808653345
