report_year,original_ticker,original_company_name,original_exclusion_reason,matched_panel_company_id,matched_panel_cik,matched_panel_ticker_history,matched_panel_company_name_history,candidate_cik_count,identity_match_method,identity_match_status,sec_lookup_status,eligible_filing_count,selected_accession_number,selected_filing_date,selected_report_date,selected_primary_document,recovery_status,recovery_reason,requires_manual_review
2020,PXD,Pioneer Natural Resources,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,SIVB,SVB Financial Group,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,SEE,Sealed Air,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,SNA,Snap-on,no_unique_eligible_2020_report_date_10k,cik:0000091440,0000091440,SNA,Snap-on,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,0
2020,SWK,Stanley Black & Decker,no_unique_eligible_2020_report_date_10k,cik:0000093556,0000093556,SWK,Stanley Black & Decker,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,0
2020,TDY,Teledyne Technologies,no_unique_eligible_2020_report_date_10k,cik:0001094285,0001094285,TDY,Teledyne Technologies,1,normalized_ticker_and_company_name,unique_panel_cik_match,not_attempted_not_identity_recovery_target,,,,,,not_recovered_other,outside_primary_identity_recovery_scope,0
2020,TIF,Tiffany & Co,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,TWTR,Twitter,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,VAR,Varian Medical Systems,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
2020,WBA,Walgreens Boots Alliance,cik_missing_in_2020_universe,,,,,0,,no_panel_match,not_attempted_no_panel_cik,,,,,,not_recovered_other,no_panel_match,0
